"Christopher Darnton, ""The Provenance Problem: Research Methods and Ethics in the Age of WikiLeaks,""",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21
3,The Role of the DEA in the Emergence of the Field of Anti-narcotics Policing in Latin America,"Pérez Ricart, Carlos A.",GG,24,2,2018,"fns. 35, 37, 40, 42-47, 61, 70, 74, 78-9, 84, 87-88, cite 16 cables from the 1970s, via Wikileaks PlusD (some titles, within quotation marks, in the footnotes, include classification status (confidential)); unclear whether these are declassified and whether they are available in other public repositories. References include author (e.g. embassy), recipient (e.g. State), classification or distribution, title, date, cable ID, and WikiLeaks along with the specific document collection at WL, but no URL. p. 169 abstract refers to ""various documentary and archival collections;"" no mention of WL or leaks or cables in body. fn. 40 makes claims and quotes about things US embassy said; many other fns. support empirical claims about other countries or about USG agencies.",y,NA,NA,NA,NA,NA,y,NA,1,1,11,0,16
3,The intra-GCC crises: mapping GCC fragmentation after 2011,"Bianco, Cinzia, and Gareth Stansfield",IA,94,3,2018,"p. 626 notes ""according to leaked US embassy cables,"" with fn. 63 citing 2 cables, URL to WL, with embassy origin and title. Fns 28 and 33 also discuss non-USG leaks, based on media articles.",NA,NA,NA,y,NA,NA,NA,NA,1,1,11,1,2
3,Defense Cooperation Agreements and the Emergence of a Global Security Network,"Kinne, Brandon",IO,72,4,2018,"Minerva sponsored. Cites 6 documents (fns. 21-23, 48-49, 57, 81) from ""Wikileaks: Public Library of US Diplomacy,"" with dates and titles but no URLs or authorship/USG origin details or cable ids. Body statements (p. 805, 810, 812, 817) indicate ""diplomatic correspondence,"" what ""US diplomats reported,"" ""according to US diplomats,"" what ""US embassy... observed,"" and empirical claims. The one body mention of leak is to an unintentional Japanese link, with a Washington Post article citation (fn. 41).",NA,NA,y,NA,NA,NA,NA,NA,1,1,11,0,6
3,Is the Good News About Law Compliance Good News About Norm Compliance? The Case of Racial Equality,"Búzás, Zoltán I.",IO,72,2,2018,cites a leaked French Interior Ministry document; another citation to a document from that ministry doesn't mention leak; origin/location of both documents is unclear,NA,NA,NA,NA,NA,NA,NA,NA,0,1,01,NA,NA
3,From peacekeepers to praetorians – how participating in peacekeeping operations may subvert democracy,"Cunliffe, Philip",IR,32,2,2018,"Abstract describes use of ""WikiLeaks cables;"" p. 220 discusses ""primary sources (primarily WikiLeaks documents)""; p. 225 twice mentions ""WikiLeaks cable"" in body; fns. 15, 25, 49, 51, 53, 84, and 85 cite cables via WL, most with titles and URLs but with no reference to USG origin. 7 cables total.",NA,NA,y,NA,NA,y,NA,NA,1,1,11,1,7
3,Backdoor Peacekeeping: Does Participation in UN Peacekeeping Reduce Coups at Home?,"Lundgren, Magnus",JPR,55,4,2018,"p. 511-512 twice quotes from ""a leaked US diplomatic cable;"" p. 512 also quotes what the UN Secretary general told a non-US official; notes for these (fns. 5-7) are to 2 cables with US embassy origin, title, date, and URLs to WL.",NA,NA,NA,y,NA,NA,NA,NA,1,1,11,1,2
3,"Secrets, hostages and ransoms: British kidnap policy in historical perspective","Aldrich, Richard J., and Lewis Herrington",RIS,44,4,2018,"p. 742-44 observe problems of secrecy and misrepresentation regarding governments' negotiation with terrorists (among other ""resistant subjects"" (744) to documentary research), suggesting that archival research should be ""twinned with freedom of information requests"" (742-43) or other approaches. p. 743 discusses leaks as data, noting ""some cause for epistemological optimism, since the nature of historical archives and evidence is changing, with more mass leaks by whistleblowers creating sizeable online archives that are beyond government control, and an increasing abundance of corporate and business archives that lie outside the purview of government repositories;"" fn. 36, supporting this, says ""For example,"" followed by a cable citation with embassy author and recipient, title, date, ID, and URL to WL.",NA,NA,NA,y,NA,NA,y,NA,1,1,11,1,1
3,The Big Problem of Small Allies: New Data and Theory on Defiant Local Counterinsurgency Partners in Afghanistan and Iraq,"Elias, Barbara",SS,27,2,2018,"The abstract (p. 233) notes use of ""thousands of US government documents;"" p. 235 specifies these are State Department; p. 242 details research design involving ""all US State Department requests to Kabul and Baghdad available through declassified and leaked sources,"" involving more than 10k documents searched, and 254 specific US ""requests"" to allies coded as events. p242-244 offer extensive discussion of representativeness, biases, and data on the extent and contents of those files. Additionally, several footnotes are to eight specific cables (fns. 46-47, 57, 59, 63, 66-68, 70), listed as US Department of State, embassy or other origin, date, title, cable ID, WikiLeaks as source, and URL to WL. p. 243 notes that sources were ""classified cables published by Wikileaks""; p. 243 (fn. 43) also recognizes SIPR origin of leaked documents. fn. 42 notes ""documents from 2010 onward containing this information were not yet available publicly""",y,NA,NA,y,y,NA,NA,NA,1,1,11,1,8
3,A Means of First Resort: Explaining “Hot Pursuit” in International Relations,"Beehner, Lionel M.",SS,27,3,2018,"p. 405 makes claims about agreements between two non-US governments; fns. 152 and 154 support this with reference to ""leaked Stratfor files"" and ""leaked Stratfor memos available from WikiLeaks""; fn. 152 has a file collection title and date, fn. 154 has no specific reference (but may be to same collection as fn. 152); document status/origin, titles, dates, etc. unspecified.",NA,NA,NA,NA,NA,NA,NA,NA,0,1,01,NA,NA
3,"Beyond Kompromat: Coercion, Corruption, and Deterred Defection in Uzbekistan","Markowitz, Lawrence P.",CP,50,1,2017,"p. 105 body introduction notes ""a selection of U.S. State Department cables (made available by Wikileaks)""; 5 cables cited, footnoted as ""wikileaks cable"" (fns. 6, 9, 72, 78, 82) with URLs, titles, and dates but no USG origin.",NA,NA,y,NA,y,y,NA,NA,1,1,11,1,5
3,The Unintended Consequences of Bilateralism: Treaty Shopping and International Tax Policy,"Arel-Bundock, Vincent",IO,71,2,2017,"p. 358-59 discusses ""leaked documents on private tax deals"" regarding Luxembourg, with some details on content and composition of those documents; fn. 31 is to International Consortium of Investigative Journalists, with full end reference including title and year and URL to icij.org with ""project"" in the file path; fn. 31 ads ""Another interesting lesson we can draw from the Luxleaks documents..."" suggesting direct engagement with documents rather than media, but not certain. p. 367 ""applicable"" (from ""cable"" search).",NA,NA,NA,NA,NA,NA,NA,u,0,1,01,NA,NA
3,Territorial Conflict in the Digital Age: Mapping Technologies and Negotiation,"Branch, Jordan",ISQ,61,3,2017,"Body p.565 refers to something ""US diplomats"" did, rather than said; fn. 25, supporting this, cites a short title and year; full end reference is alphabetized just by document title, omiting USG origin or leak, but includes date and URL to WL (which suggests this is a cable). Hyperlink text did not show up in OUP full text search.",NA,NA,y,NA,NA,NA,NA,NA,1,1,11,0,1
3,The socialization of civilians and militia members,"Bateson, Regina",JPR,54,5,2017,"p. 637 notes ""a research assistant systematically searched English-language print media archives, the DNSA archive of declassified US government cables, and the PlusD Wikileaks archive for articles and cables that mentioned"" various keywords. p. 638 section on Transparency notes that ""The US government cables are readily available through the PlusD and DNSA online databases."" fn 10 clarifies that cables will have abbreviated citations (and, to see online appendix); however, although several footnotes list DNSA document numbers, none mentions a WL source. The online JPR appendix, however, specifies (p. 4) 4 cables via WL, listing 3 as Confidential and one as unclassified but FOUO, along with titles, dates, and cable IDs (p. 1 clarifies this format and USG origin). Not clear why even abbreviated references are absent from the article proper. Author byline says former US Foreign Service Officer.",y,NA,NA,NA,y,NA,NA,NA,1,1,11,1,0
3,Illicit Global Wealth Chains after the financial crisis: micro-states and an unusual suspect,"Sharman, J.C.",RIPE,24,1,2017,"p. 43 discusses (with quotations) what ""two leaked US government cables from 2006 and 2008 described""; parenthetical references are to WikiLeaks, and full end references simply list Wikileaks, a year, and a document URL to WL. Additionally, p. 32 and 40-41 discusses (with parenthetical references to ICIJ and full references on p. 54) leaks of private companies' documents about offshore corporations to the International Committee of Investigative Journalists.",NA,NA,y,y,NA,NA,NA,NA,1,1,11,1,2
3,Security expertise and international hierarchy: the case of 'The Asia-Pacific Epistemic Community',"Jerdén, Björn",RIS,43,3,2017,"fns. 94-96 and 98-99 cite 4 cables in total, with title, year, and URL to WL (author listed as WikiLeaks in notes), no specified USG origin within references. These support claims (with quotations) on pp. 510-511 of what Japanese diplomats told US officials. p. 510 clarifies empirical rationale: ""Thanks to the massive leak of US diplomatic cables by the WikiLeaks organisation in 2010, we have insights into the diplomats’ resistance to all three of the policy changes outlined above, or at least interpretations of their statements of resistance by the US diplomats who wrote the cables.""",NA,NA,y,y,NA,NA,NA,NA,1,1,11,1,4
3,"A material turn in International Relations: the 4x4, intervention and resistance","Mac Ginty, Roger",RIS,43,5,2017,"p. 867 notes ""what UN documents show""; fn. 83 is to a UNHCR document, with title and date and document number, with URL to WL.",NA,NA,NA,NA,NA,NA,NA,NA,0,1,01,NA,NA
3,Visual regimes and the politics of war experience: Rewriting war 'from above' in WikiLeaks' 'Collateral Murder',"Tidy, Joanna",RIS,43,1,2017,"Article, passim, analyzes video clips posted by WL (fn. 2, and captions to Figs. 1-3, include a URL to collateralmurder.com); the video included (p. 96) ""gun sight footage from a United States Apache AH64 helicopter, leaked by Chelsea Manning to the whistleblowing organisation WikiLeaks... made public on the Internet along with stills from the footage and supporting media and documents."" Author repeatedly assesses WL's intentions and editorial choices regarding the video and its title (p. 96-98, 102-105",NA,NA,NA,NA,NA,NA,NA,NA,0,1,01,NA,NA
3,"Systemic Representation: Democracy, Deliberation, and Nonelectoral Representatives","Kuyper, Jonathan",APSR,110,2,2016,"p. 316 observes that ""several drafts of the [ACTA] text were published by WikiLeaks. From leaked drafts and subsequent official releases, it is clear"" what the contents were, and author provides a ""brief summary""; fn. 15 is to ""USTR's talking points,"" with URL to keionline.org. fn. 16 also cites an ACTA draft, ""available from"" a URL to trade.ec.europa.eu, which may be an official release. p. 317 lists organizations involved in policy process; fn. 18 explains that these ""were included in the the leaked WikiLeaks and KEI drafts from internal ACTA meetings,"" and cites a KEI article with title and URL. p.318 observes that some FOIA requests by KEI were rejected, and p. 319 adds that these rejections ""drew public attention to the lack of transparency of ACTA, notoriety which WikiLeaks fueled by diffusing draft texts."" p. 321 notes that TPP ""draft documents have been leaked""; fn. 38 is to ""KEI analysis of Wikileaks leak of TPP IPR text,"" with URL to keionline.org. Unclear which linked sources are documents rather than articles about them, and which documents are leaks vs. official releases; coding as 3 based on body text's repeated, detailed commentary on WikiLeaks-sourced material.",NA,NA,NA,NA,NA,NA,NA,u,0,1,01,NA,NA
3,Off-road policing: communications technology and government authority in Somaliland,"Hills, Alice",IA,92,5,2016,"p. 1071 body claim is general empirical point; the fn. (43) is to a document via the Telegraph, with author listed as Wikileaks, and a title and date and URL to the Telegraph (including ""wikileaks-files/london-wikileaks"" in the address) but unclear whether this is a cable or other source, and whether British or American. Likely a  cable.",NA,NA,y,NA,NA,NA,NA,NA,1,1,11,0,1
3,Iran's policy towards the Houthis in Yemen: a limited return on a modest investment,"Juneau, Thomas",IA,92,3,2016,"fns, 38-40, 60 cite 3 cables, from US embassies ""released by"" WL. Body p. 656 discusses ""cables revealed by Wikileaks suggest that the American
Embassy..."" with other sentences about a ""leaked memo"" or what ""US officials"" thought. Citations include title, date, embassy origin, and ""released by WikiLeaks,"" but no cable ID or URL.",NA,?,NA,y,y,NA,NA,NA,1,1,11,1,3
3,The many faces of a rebel group: the Allied Democratic Forces in the Democratic Republic of Congo,"Titeca, Kristof, and Daniel Fahey",IA,92,5,2016,"fn. 64 cites a cable, noting State Department origin, title, and date, ""posted on Wikileaks,"" with URL to WL. This connects to a body empirical claim (p. 1197) about US security behavior.",NA,NA,NA,NA,y,NA,NA,NA,1,1,11,0,1
3,NATO contracting in Afghanistan: the problem of principal–agent networks,"Krahmann, Elke",IA,92,6,2016,"p.1409 makes empirical claim about contractor behavior; fn. 43 is to ""WikiLeaks,"" with document number, year, title, and URL to WL (apparently a ""war diaries"" source). No mention of leaks in body.",NA,NA,NA,NA,NA,NA,NA,NA,0,1,01,NA,NA
3,"Learning to Deter: Deterrence Failure and Success in the Israel-Hezbollah Conflict, 2006–16","Sobelman, Daniel",IS,41,3,2016,"fn. 131 cites one ""confidential US cable, Wikileaks"" without URL or cable ID but with title and date; body (p. 180) is empirical claim about non-US country",y,NA,NA,NA,NA,NA,NA,NA,1,1,11,0,1
3,The Pivot before the Pivot: U.S. Strategy to Preserve the Power Balance in Asia,"Silove, Nina",IS,40,4,2016,"fn. 209 links to the Guardian, with URL suggesting a file rather than a news article; body quotes a cable, lengthily, with named diplomat and date; no mention of WL or leaks in body or reference. Also many cites to Rumsfeld personal archive, unclear whether online (no URL) or public.",NA,NA,NA,NA,NA,NA,NA,u,1,1,11,0,1
3,You Can’t Always Get What You Want: Why Foreign-Imposed Regime Change Seldom Improves Interstate Relations,"Downes, Alexander B., and Lindsey A. O’Rourke",IS,41,2,2016,"p. 87 makes claims about Obama administration policy, and more specifically what ""Proponents of regime change argued""; fn. 60, supporting this, cites several sources, including the observation that ""Unclassified 2012 State Department emails also reveal Clinton’s rationale,"" with a quotation and a citation to WL with title (including document number and date); file path includes ""clinton-emails.""",NA,NA,NA,NA,NA,NA,NA,NA,0,1,01,NA,NA
3,Rhetorical Entrapment and Normative Enticement: How the United Kingdom Turned From Spoiler Into Champion of the Cluster Munition Ban,"Petrova, Margarita",ISQ,60,3,2016,"Body does not mention USG or leak, just makes empirical claims about another government. p. 392 makes claim about a government's policy motivation; fn. 14 argues that a ""Wikileaks cable corroborates"" this, provides a quotation, and has a short reference to ""US Embassy Cables 2010""; full end reference has URL to the Guardian, with title and file path suggesting a specific document, but without cable date, origin, or ID. Similarly on p. 396, supported by fn. 27 noting what ""A WikiLeaks cable released on 1 December 2010 seemed to show""--but with no citation or reference, or cable authorship date.",NA,y,NA,NA,NA,y,NA,NA,1,1,11,0,1
3,"Rethinking Economic ""Sanctions""","Nili, Shmuel",ISR,18,4,2016,"Body (p. 636, first page of article) notes what ""American diplomats describe…"" with a quotation; fn. 1 says ""See cable"" with date and URL to WL.",NA,NA,y,NA,NA,NA,NA,NA,1,1,11,0,1
3,Between Collaboration and Disobedience: The Behavior of the Guantánamo Detainees and its Consequences,"Deutschmann, Emanuel",JCR,60,3,2016,"p. 555 in abstract explains empirical foundation of paper is ""Joint Task Force Guantanamo–authored memoranda on 765 detainees are used to create a network of accusations between detainees and an
attribute data set"" for further quantitative analysis; p. 557 adds that these were ""published by WikiLeaks"" and p. 558 that they are ""available online"" (with parenthetical reference to WL). p 558 discusses the 25 variables (including individual demographic data--""age, nationality, health status, year of transfer to Guantanamo, assessed threat risk, intelligence value, risk from the detention perspective, and affiliation with terrorist organizations (cf. Online Appendix"") that were coded from each document, as well as descriptive observations about the scope and date range of the documents, the kind of information available in them, and an evaluation that they represent ""almost the complete population"" of detainees (also fn. 3). End Reference is to ""WikiLeaks, ed. 2011. The Guantanamo Files,"" apparently a document repository, with URL to WL.",NA,NA,NA,NA,NA,NA,NA,NA,0,1,01,NA,NA
3,Institutional spillovers from the negotiation and formulation of East Asian free trade agreements,"Postigo, Antonio",RIPE,23,3,2016,"p. 404 makes an empirical claim about trade lobbying; fn. 35 quotes a non-US business representative, from a meeting with a US diplomat, citing ""leaked cable from US Embassy"" in the country, with a URL to WL.",NA,NA,NA,y,NA,NA,NA,NA,1,1,11,0,1
3,Police assistance as foreign policy: Explaining donor practices,"Friesendorf, Cornelius",RIS,42,2,2016,"p. 395 quotes ""US diplomats"" and military officials, with fns. 88 and 90 each citing a separate cable, ""published by"" WL, with organizational origin, cable ID, title, date, URL to WL, and, notably, classification level (both, apparently, were classified). No mention of sources or leaks in body.",y,NA,NA,NA,y,NA,NA,NA,1,1,11,0,2
3,Osirak and the Counter-Proliferation Puzzle,"Sadot, Uri",SS,25,4,2016,"p. 667 makes empirical claim about a non-US country; fn. 70 is to a US cable with date and ID and title, but no source or link listed (by era and format, potentially from same repository as with fns. 71 and 73, i.e. WL). Two sentences later, body observation of what ""the American ambassador... reported,"" with fn. 71 citing a ""secret cable,"" with title, date, and URL to WL (USG origin not specified in this note, though implicit). p. 668 makes empirical claim about non-US country, with fn. 73 citing a ""US embassy cable,"" with date, embassy, ID number, title, and URL to WL. 3 cables total",y,y,y,NA,NA,NA,NA,NA,1,1,11,0,3
3,"Nationalist Protests, Government Responses, and the Risk of Escalation in Interstate Disputes","Ciorciari, John, and Jessica Chen Weiss",SS,25,3,2016,"p. 562 observes what non-USG ""officials… explained;"" fn. 56 is to a US Embassy, with title, cable ID, date, and URL to WL. P. 562-563 has further discussion of what foreign officials ""said"" to ""US officials""; fns. 63-65 are to two cables (formatted similarly to fn. 56), one with URL to WL and another with URL to thaicables.wordpress.com. 3 cables total.",NA,NA,NA,NA,NA,NA,NA,NA,1,1,11,0,3
3,Predictability versus Flexibility: Secrecy in International Investment Arbitration,"Hafner-Burton, Emilie M., Zachary C. Steinert-Threlkeld, and David G. Victor",WP,68,3,2016,"fn. 26 describes ""including nonpublic cases in our analysis, and, where feasible, relying on leaked documents for information;"" fn. 92 describes an ""exhaustive online search"" for leaks about arbitration cases, observing only one instance in which ""diplomatic cables leaked via Wikileaks revealed"" such outcomes (the incident is mentioned, but the underlying cable(s) are not cited or linked). p. 444 extensively discusses negotiations between Chevron and a non-US government, including ""leaked information reveals that both sides behaved in ways consistent with the theoretical propositions,"" quoting and citing a cable (fns. 96 and 97) and noting what ""disclosures on Wikileaks reveal;"" the shorthand footnote is to ""Embassy Dhaka 2007,"" with full reference including Embassy as author, document title, URL to WL, cable ID (although listed as ""Wikileaks cable"". p. 420 and elsewhere, uses ""secret"" not in sense of classification but in terms of whether a international arbitation outcome was publicly released.",NA,NA,NA,y,NA,y,NA,NA,1,1,11,1,1
3,Politics by Number: Indicators as Social Pressure in International Relations,"Kelley, Judith G., and Beth A. Simmons",AJPS,59,1,2015,"Body (p. 60) quotes a Honduran newspaper; fn. 10, supporting this, says ""see"" followed by a URL to dazzlepod.com, with no title or date or authorship information; ""cable"" appears as part of the URL file path, and the filename follows typical WL conventions.",NA,NA,y,NA,NA,NA,NA,NA,1,1,11,0,1
3,‘Can you pass the salt?’ The legitimacy of international institutions and indirect speech,"Stephen, Matthew D.",EJIR,21,4,2015,"p. 775 quotes (block quote) a cable, used as evidence of what ""the US… observed""; parenthetical reference is to ""Wikileaks cable""; endnotes also omit any authorship, title, or USG origin, but have date, cable ID, and URL to WL",NA,NA,y,NA,NA,y,NA,NA,1,1,11,0,1
3,Rethinking Cooperation: Inequality and Consent in International Climate Change Politics,"Ciplet, David",GG,21,2,2015,"p. 248 discusses range of ""diverse sources"" including ""WikiLeaks documents;"" p. 259 notes ""was later revealed in leaked cables"" and ""In particular, WikiLeaks cables linked the United States with...""; p. 260 ""According to a US diplomatic cable released by WikiLeaks..."" quoting a foreign official in a meetig with a named US diplomat; fns. 65, 73, 77 cite 3 Guardian and 1 NYT articles with ""leak"" and ""cable"" in title; unclear whether some of the Guardian links may be to documents rather than articles; coding as 3 based on author's claim to have used the underlying documents.",NA,NA,NA,y,y,y,NA,NA,1,1,11,1,??
3,Authoritarianism and the securitization of development in Africa,"Fisher, Jonathan, and David M. Anderson",IA,91,1,2015,"Body p. 145 notes what a ""dialogue—partly captured in embassy cables now available from WikiLeaks—Washington made clear""; fns. 63, 76, 80-82, 92-93, citing 10 cables as ""Leaked cable, US embassy"" with title and date and URL to WL. (Other than the line on 145, most body sections supported by WL footnotes are empirical claims about non-USG actors.)",NA,NA,NA,y,y,NA,NA,NA,1,1,11,1,10
3,Struggles over identity in diplomacy: ‘Commie terrorists’ contra ‘imperialists’ in Western Sahara,"de Orellana, Pablo",IR,29,4,2015,"p. 481 discussion of sources includes ""leaked US diplomatic cables published by Wikileaks""; fn. 20 cites ""Wikileaks US Embassy cables, available at"" with URL to WL, and specifies format of (several) truncated cable citations to follow. Shorthand cable references appear in fns. 59, 66-67, 89, 91, 98, 101, 108, 112, 114-117 (12 cables total).",NA,NA,NA,y,y,NA,NA,NA,1,1,11,1,12
3,"The Fatal Attraction of Civil War Economies: Foreign Direct Investment and Political Violence, A Case Study of Colombia","Maher, David",ISR,17,2,2015,"Article includes several State Department cables, with parenthetical references to ""DOS"" and a year; full end references to most of these include URLs to state.gov. However, p. 227 body makes empirical claims about Colombian security behavior, and has a parenthetical reference to six sources, three of which are listed as DOS, one of which (""DOS 2006"") appears in the full end references as ""available at"" with URL to WL (also lists document title, year, and alphabetized under Department of State as author, though listing Wikileaks as source).",NA,NA,NA,NA,y,NA,NA,NA,1,1,11,0,1
3,Constructing civilisations: Embedding and reproducing the 'Muslim world' in American foreign policy practices and institutions since 9/11,"Bettiza, Gregorio",RIS,41,3,2015,"p. 597 quotes how ""a diplomatic cable at the time framed"" a US agent's mission; fn. 121 is just a URL to a cable at WL. No mention of leak, authorship, title, or classification in body or reference.",NA,NA,y,NA,NA,NA,NA,NA,1,1,11,0,1
3,The Solution to the Iranian Nuclear Crisis and Its Consequences for the Middle East,"Mousavian, Seyed Hossein",GG,20,4,2014,"fns. 25-27 cite 3 cables, URLs to WL, with ID numbers but no title or USG mention (not explicit in citations whether these are US cables rather than those of other governments); p. 534 body talks about how ""Wikileaks provided a great deal of insight,"" with two claims about what other governments' officials told the US, and one claim about what the US ""understood"" from this.",NA,NA,y,NA,NA,NA,NA,NA,1,1,11,1,3
3,"Nuclear fears, hopes and realities in Pakistan","Hoodbhoy, Pervez, and Zia Mian",IA,90,5,2014,"p. 1136 body says what ""Leaked US diplomatic cables made available by WikiLeaks detail"" and discusses a meeting with a US official; fn. 38 supports this, noting US embassy authorship, title and date, as well as URL to WL",NA,NA,NA,y,NA,NA,NA,NA,1,1,11,1,1
3,After Westgate: opportunities and challenges in the war against Al-Shabaab,"Williams, Paul D.",IA,90,4,2014,"fn. 61 and 65 cite 2 cables, listed as ""Wikileak cable"" (sic), with URLs, dates, and IDs but no authorship, title, or USG origin. No body mention of USG sources, cables, leaks, or WL; the two citations support empirical claims about an African Union mission and about a statement made by a non-US mayor.",NA,NA,y,NA,NA,y,NA,NA,1,1,11,0,2
3,Pakistan’s Battlefield Nuclear Policy: A Risky Solution to an Exaggerated Threat,"Sankaran, Jaganath",IS,39,3,2014,"p. 127 quotes a ""leaked assessment"" by a named US ambassador, with fn. 31 linking to a cable at WL (citation only includes title and URL).",NA,NA,y,y,NA,NA,NA,NA,1,1,11,1,1
3,"Why Factions Switch Sides in Civil Wars: Rivalry, Patronage, and Realignment in Sudan","Seymour, Lee J.M.",IS,39,2,2014,"fn. 108 lists a quotes one cable, listed as US State Department, with title, date, and URL to cablegatesearch.net; body statement (first sentence of Conclusion section, p. 128) quotes what ""one American diplomat noted;"" neither body nor reference mentions leaks or WL.",NA,NA,NA,NA,NA,NA,NA,NA,1,1,11,0,1
3,"Technocratic manager, imperial agent, or diplomatic champion? The IMF in the anarchical society","Brütsch, Christian",RIS,40,2,2014,"p. 219 quotes what ""a leaked US diplomatic cable dryly noted"" and what ""The US embassy hoped,"" with fn. 64 citing a cable ID and date with reference to WL website (without document URL), without any USG origin information (or title or date) in the note. P 220 makes empirical claims about the IMF and a non-US government, backed by fns. 70 and 72, each to a cable at WL (same format). p. 222 observes what ""leaked diplomatic cables suggest"" about what ""US diplomats were well aware"" of, with fn. 87 citing another cable at WL (same format). p 224 argues that ""there is no evidence"" of a US activity, and that ""According to leaked diplomatic cables"" (with quotations from the source) there was a different origin of an IMF loan approval, with fn. 97 to another cable at WL (same format). Five cables cited in total, none with dates, titles, or URLs.",NA,NA,y,y,NA,NA,NA,NA,1,1,11,1,5
3,System failure: the underlying causes of US policy-making errors in Afghanistan,"Waldman, Matt",IA,89,4,2013,"Body (p. 827) makes an empirical claim that ""no effective steps were taken;"" in context, this is about US behavior; fn. 10, supporting this, quotes two documents, a ""leaked ISAF report"" and a ""leaked US cable"" with named US diplomat, without citation or URL for either document. No mention of cables or leaks in body of document.",NA,y,NA,y,NA,NA,NA,NA,1,1,11,0,1
3,The Obama approach to the Middle East: the end of America's moment?,"Gerges, Fawaz A.",IA,89,2,2013,"fn. 61 cites a cable, URL to WL, has title and date, but no clear USG origin (can perhaps infer from US official's name in title); body claim (p. 319) is to what ""Obama had decided""",NA,NA,y,NA,NA,NA,NA,NA,1,1,11,0,1
3,How New and Assertive Is China's New Assertiveness?,"Johnston, Alastair Iain",IS,37,4,2013,"fn. 71 quotes a cable, with URL to WL, and notes ""what ""State Department cables distributed by Wikileaks reveal;"" also, fn. 87 cites 2 cables with URLs to WL, and notes that at least one was ""confidential"". Body text (p. 32, 39) makes no mention of leaks or of USG sources: fn. 87 supports an empirical claim about China; fn. 71 (which includes other, public sources) supports a clause about what the Obama administration ""appreciated.""",y,NA,NA,NA,y,NA,NA,NA,1,1,11,0,3
3,"Reconceptualizing Gender, Reinscribing Racial–Sexual Boundaries in International Security: The Case of UN Security Council Resolution 1325 on “Women, Peace and Security”","Pratt, Nicola",ISQ,57,4,2013,"p. 779 makes empirical claim about rate of ""United States and its allies… perpetrating violence… as documents on WikiLeaks have demonstrated"" with parenthetical reference to two sources at The Guardian; full end references are to ""War Logs"" for both Iraq and Afghanistan, with URLs to the Guardian, apparently document repositories rather than media articles",NA,NA,NA,NA,NA,NA,NA,u,0,1,01,NA,NA
3,Revenge of the “Nerds”: Collective Action against Intellectual Property Maximalism in the Global Information Age,"Sell, Susan",ISR,15,1,2013,"p. 81 discusses a ""leaked… document"" regarding US Trade Representative's preferences; next sentence discusses a different government's position, with quotation, and with fn. 5 to that government and ""leaked negotiating document (on file with author)"" along with document title. p. 76 and 81 also discuss leaked trade treaty texts, in less detail (primarily about the existence of the leaks and the role of Internet activists) and without citations.",NA,NA,NA,NA,NA,NA,NA,NA,0,1,01,NA,NA
3,Securitisation and Diego Garcia,"Salter, Mark B., and Can E. Mutlu",RIS,39,4,2013,"p. 831 quotes a ""A US diplomatic cable
publicised by Wikileaks"" that ""supported [a] claim"" about a non-US government's policy; fn. 97 is to the Guardian, with a title including ""US Embassy Cables:"" followed by a substantive title, and URL file path including ""documents."" Appears to be primary source, but unclear.",NA,NA,NA,NA,y,NA,NA,u,1,1,11,1,1
3,Stuxnet and the Limits of Cyber Warfare,"Lindsay, Jon R.",SS,22,3,2013,"fn. 27 discusses details of a ""Wikileaks cable from the American embassy,"" with a date, but with no citation or reference (this is a lengthy footnote with other sources and claims); no mention of leaks or cables in body (p. 373), which has an aggregate factual assertion about ""examples of computer hacking.""",NA,y,NA,NA,NA,y,NA,NA,1,1,11,0,1
3,Wheeled Warriors: Explaining Variations in the Use of Violence by Private Security Companies in Iraq,"Fitzsimmons, Scott",SS,22,4,2013,"fn. 76 includes citation to an Iraq report, author or source listed as Wikileaks, with title, date, and URL to WL. p. 710 body discusses building a dataset with sources ""including over four thousand pages of incident reports produced by the US State Department and private security companies""; the State Department files ""proved particularly enlightening;"" cf pp. 736-737 on value of these sources. Numerous footnotes (2, 57, 62-65, 70-76, 78-80, 82-83, 88-91, 97-99, 101) cite State Department, CPA, and other USG documents with titles and dates, but with no mention of source (none appear to be diplomatic cables); fn. 98-99 cites an email by a named State Department agent (body, p. 737, which quotes the email, also notes that this is an ""internal"" State document as well as an ""enlightening"" one. Origin of private corporation documents (DynCorp and Blackwater) also unclear (fn. 26 inter alia).",NA,NA,NA,NA,NA,NA,NA,NA,0,1,01,NA,NA
3,When the Claim Hits: Bilateral Investment Treaties and Bounded Rational Learning,"Poulsen, Lauge N. Skovgaard, and Emma Aisbett",WP,65,2,2013,"p. 283-284 include block quote and two additional quotes, involving claims about governments other than the US, backed by fns. 39 and 40, both citing a ""report by American embassy,"" mentioning WL and cable ID and date, without URL. From body, no mention of governmental let alone US origin, or of leaks.",NA,NA,NA,NA,NA,NA,NA,NA,1,1,11,0,1
3,International hierarchies and contemporary imperial governance: A tale of three kingdoms,"Sharman, J.C.",EJIR,19,2,2012,"p. 200 quotes and links (URL in parenthetical reference, to WL) a ""Wikileaks cable,"" as evidence of non-US country behavior, no reference to USG origin, document title, or date beyond year and month in URL",NA,NA,y,NA,NA,y,NA,NA,1,1,11,1,1
